epoch,Train Accuracy (%),Validation Accuracy (%),Train Loss,Validation Loss
1,60.69,81.79,1.15,0.49
2,82.7,88.3,0.47,0.34
3,87.41,90.18,0.35,0.28
4,90.8,92.32,0.27,0.24
5,92.25,93.39,0.22,0.21
6,93.24,94.11,0.19,0.19
7,94.4,94.46,0.16,0.18
8,95.27,95.0,0.13,0.16
9,96.25,95.27,0.11,0.17
10,96.74,95.63,0.1,0.15
11,97.05,95.36,0.08,0.15
12,97.66,96.7,0.07,0.12
13,98.12,95.98,0.06,0.13
14,98.53,96.43,0.05,0.14
15,98.5,96.79,0.05,0.13
