epoch,Train Accuracy (%),Validation Accuracy (%),Train Loss,Validation Loss
1,64.49,73.57,0.84,0.61
2,77.9,81.34,0.56,0.48
3,81.25,82.68,0.48,0.42
4,83.26,84.64,0.43,0.39
5,86.16,85.09,0.35,0.36
6,85.92,85.62,0.35,0.36
7,87.68,88.84,0.32,0.3
8,89.15,89.2,0.28,0.3
9,89.87,88.39,0.26,0.31
10,90.65,90.0,0.24,0.27
