epoch,Train Accuracy (%),Validation Accuracy (%),Train Loss,Validation Loss
1,49.53,73.04,1.43,0.8
2,73.08,81.7,0.77,0.53
3,80.98,86.7,0.57,0.4
4,83.46,85.71,0.48,0.38
5,85.85,88.21,0.4,0.32
6,86.83,89.91,0.37,0.27
7,88.84,90.27,0.31,0.28
8,90.04,91.52,0.29,0.24
9,90.71,91.87,0.26,0.24
10,92.01,91.7,0.23,0.23
11,92.54,93.04,0.21,0.21
12,93.37,93.21,0.18,0.2
13,93.59,93.84,0.18,0.19
14,94.58,93.75,0.16,0.19
15,94.78,94.46,0.15,0.17
